(fail) 3-tier queue fallback > startQueue and stopQueue are no-ops when not in pg-boss mode [0.16ms]
(fail) AI Fabric Cost Optimizer — Phase 2 > should calculate savings correctly (70 cache, 30 AI) [0.76ms]
(fail) AI Fabric Cost Optimizer — Phase 2 > should handle zero-cost AI calls (free models) [0.24ms]
(fail) AI Fabric Gateway — Phase 1 > should log every request to AIRequestLog [50.67ms]
(fail) AI Fabric Gateway — Phase 1 > should resolve via cache on second identical call [0.48ms]
(fail) AI Fabric Gateway — Phase 1 > should store and retrieve AI memory [0.29ms]
(fail) AI Fabric Provider Optimizer — Phase 3 > should seed provider configs without error [0.29ms]
(fail) AI Fabric: Budget Engine (Phase 6) > checkBudgetGate should return false when hard stop enabled and at limit [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should create BudgetConfig if it does not exist [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should create notification when spend crosses alert threshold [0.02ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should ignore zero or negative spend [0.01ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should increment currentSpendUsd on each recordSpend call [0.03ms]
(fail) AI Fabric: Budget Engine (Phase 6) > should not create duplicate alerts in same month [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > (unnamed) [0.03ms]
(fail) AI Fabric: Scheduler (Phase 5) > borrowed slots should not exceed busy company's tier ceiling [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > each company should get base allocation equal to workerPoolSize [0.04ms]
(fail) AI Fabric: Scheduler (Phase 5) > idle company's slots should be distributed to busy companies [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > previously idle company should reclaim slots when it becomes active [0.02ms]
(fail) AI Fabric: Scheduler (Phase 5) > should deny slot when at capacity (running jobs = allocation) [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should grant slot when under allocation [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should pick the company with highest queue depth [0.01ms]
(fail) AI Fabric: Scheduler (Phase 5) > should return null when no company needs capacity [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > (unnamed) [0.06ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > TIER_WORKER_LIMITS should have correct values [0.39ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > enterprise plan should default to 64 workers [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > planToTier maps plan strings correctly [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should NOT scale up when system resources > 80% [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should create a new runtime with tier default pool size [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should not scale below 1 worker [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should not scale beyond tier ceiling [0.04ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should return existing runtime without changing pool size [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should return worker counts for all active runtimes [0.02ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should scale down gradually when queue is empty for sustained period [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > should scale up when queue exceeds 200 for sustained period [0.01ms]
(fail) AI Fabric: Worker Scaler (Phase 4) > trial plan should cap at 1 worker [0.02ms]
(fail) API route isolation > API with empty string companySlug treated as no filter [0.06ms]
(fail) API route isolation > API with null companySlug and restricted user returns intersection [0.07ms]
(fail) API route isolation > forbidden scope should block the request [0.07ms]
(fail) API route isolation > list query always includes tenant filter for restricted user [0.05ms]
(fail) Audit log isolation > audit log query for restricted user uses company filter [0.05ms]
(fail) Deep: ai-memory-generation / boundary-value > ai-memory-generation boundary-value generates valid data [0.16ms]
(fail) Deep: ai-memory-generation / boundary-value > ai-memory-generation boundary-value has valid invoices [0.08ms]
(fail) Deep: ai-memory-generation / boundary-value > ai-memory-generation boundary-value has valid products [0.11ms]
(fail) Deep: ai-memory-generation / edge-empty > ai-memory-generation edge-empty generates valid data [0.16ms]
(fail) Deep: ai-memory-generation / edge-empty > ai-memory-generation edge-empty has valid invoices [0.08ms]
(fail) Deep: ai-memory-generation / edge-empty > ai-memory-generation edge-empty has valid products [0.09ms]
(fail) Deep: ai-memory-generation / statistical > ai-memory-generation statistical generates valid data [0.18ms]
(fail) Deep: ai-memory-generation / statistical > ai-memory-generation statistical has valid invoices [0.07ms]
(fail) Deep: ai-memory-generation / statistical > ai-memory-generation statistical has valid products [0.09ms]
(fail) Deep: ai-rule-generation / arabic-encoding > ai-rule-generation arabic-encoding generates valid data [0.17ms]
(fail) Deep: ai-rule-generation / arabic-encoding > ai-rule-generation arabic-encoding has valid invoices [0.07ms]
(fail) Deep: ai-rule-generation / arabic-encoding > ai-rule-generation arabic-encoding has valid products [0.11ms]
(fail) Deep: ai-rule-generation / error-handling > ai-rule-generation error-handling generates valid data [0.17ms]
(fail) Deep: ai-rule-generation / error-handling > ai-rule-generation error-handling has valid invoices [0.07ms]
(fail) Deep: ai-rule-generation / error-handling > ai-rule-generation error-handling has valid products [0.09ms]
(fail) Deep: ai-rule-generation / json-deserialize > ai-rule-generation json-deserialize generates valid data [0.17ms]
(fail) Deep: ai-rule-generation / json-deserialize > ai-rule-generation json-deserialize has valid invoices [0.08ms]
(fail) Deep: ai-rule-generation / json-deserialize > ai-rule-generation json-deserialize has valid products [0.11ms]
(fail) Deep: bottleneck-detection / retry-logic > bottleneck-detection retry-logic generates valid data [0.18ms]
(fail) Deep: bottleneck-detection / retry-logic > bottleneck-detection retry-logic has valid invoices [0.08ms]
(fail) Deep: bottleneck-detection / retry-logic > bottleneck-detection retry-logic has valid products [0.09ms]
(fail) Deep: bottleneck-detection / scale-10 > bottleneck-detection scale-10 generates valid data [0.16ms]
(fail) Deep: bottleneck-detection / scale-10 > bottleneck-detection scale-10 has valid invoices [0.09ms]
(fail) Deep: bottleneck-detection / scale-10 > bottleneck-detection scale-10 has valid products [0.09ms]
(fail) Deep: bottleneck-detection / statistical > bottleneck-detection statistical generates valid data [0.17ms]
(fail) Deep: bottleneck-detection / statistical > bottleneck-detection statistical has valid invoices [0.07ms]
(fail) Deep: bottleneck-detection / statistical > bottleneck-detection statistical has valid products [0.10ms]
(fail) Deep: cache-generation / edge-min > cache-generation edge-min generates valid data [0.19ms]
(fail) Deep: cache-generation / edge-min > cache-generation edge-min has valid invoices [0.08ms]
(fail) Deep: cache-generation / edge-min > cache-generation edge-min has valid products [0.10ms]
(fail) Deep: cache-generation / performance > cache-generation performance generates valid data [0.17ms]
(fail) Deep: cache-generation / performance > cache-generation performance has valid invoices [0.07ms]
(fail) Deep: cache-generation / performance > cache-generation performance has valid products [0.09ms]
(fail) Deep: cache-hit-analysis / fallback > cache-hit-analysis fallback generates valid data [0.18ms]
(fail) Deep: cache-hit-analysis / fallback > cache-hit-analysis fallback has valid invoices [0.08ms]
(fail) Deep: cache-hit-analysis / fallback > cache-hit-analysis fallback has valid products [0.10ms]
